Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
a/c,N,3,"['Ġa', '/', 'c']",2,0.0,668.04,0.77
aband,N,5,['Ġaband'],0,0.8,706.5,0.92
abayed,N,6,"['Ġab', 'ay', 'ed']",2,0.5,689.94,0.87
abbear,N,6,"['Ġab', 'b', 'ear']",2,0.5,560.58,0.95
abbears,N,7,"['Ġab', 'b', 'ears']",2,0.57,611.41,0.98
abbens,N,6,"['Ġab', 'b', 'ens']",2,0.5,598.29,1.0
abchaim,N,7,"['Ġab', 'ch', 'aim']",2,0.57,591.76,1.0
abects,N,6,"['Ġab', 'ects']",1,0.67,635.21,0.98
abeme,N,5,"['Ġab', 'em', 'e']",2,0.4,591.06,0.95
abents,N,6,"['Ġab', 'ents']",1,0.67,690.26,0.98
abests,N,6,"['Ġab', 'ests']",1,0.67,640.55,0.89
abik,N,4,"['Ġab', 'ik']",1,0.5,518.63,1.0
ablobs,N,6,"['Ġab', 'l', 'obs']",2,0.5,585.68,1.0
abme,N,4,"['Ġab', 'me']",1,0.5,532.0,1.0
abne,N,4,"['Ġab', 'ne']",1,0.5,559.13,0.98
abone,N,5,"['Ġab', 'one']",1,0.6,702.03,0.87
abones,N,6,"['Ġab', 'ones']",1,0.67,666.15,0.95
abow,N,4,"['Ġab', 'ow']",1,0.5,699.42,0.89
abran,N,5,"['Ġab', 'ran']",1,0.6,579.66,1.0
abrass,N,6,"['Ġab', 'rass']",1,0.67,660.74,0.92
abrast,N,6,"['Ġab', 'rast']",1,0.67,677.92,0.92
abre,N,4,"['Ġab', 're']",1,0.5,671.21,1.0
abreeves,N,8,"['Ġab', 'ree', 'ves']",2,0.62,666.39,0.8
abroths,N,7,"['Ġab', 'ro', 'ths']",2,0.57,606.58,0.98
abrush,N,6,"['Ġab', 'r', 'ush']",2,0.5,746.56,0.74
abscrict,N,8,"['Ġab', 'sc', 'rict']",2,0.62,771.29,0.97
abscue,N,6,"['Ġab', 'sc', 'ue']",2,0.5,717.69,0.79
abscued,N,7,"['Ġab', 'sc', 'ued']",2,0.57,795.59,0.9
